Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Baby Storytime,06/13/2017,Jun,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is recommended for newborns to 18-month-olds. Join us as we learn and sing songs, lap bounces and other rhymes, and read one or two short books. Due to the popularity of this storytime we require registration. Please register for the adult caregiver attending.",,Yes,32
Tutoring and Homework Help,05/30/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,14
Toddler Storytime (18-36 months),05/31/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,79
Preschool Storytime,05/31/2017,May,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,73
Pre-School Storytime,05/31/2017,May,FY 17,Twinbrook,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Pictures Books, Fingerplays, Action Rhymes, Movement with Music, and Flannel Board Stories. Free. No registration required. Designed for children ages 2 1/2 to 5. For more information call 240-77-0240",,Yes,28
Family Storytime,05/31/2017,May,FY 17,Kensington Park,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"These 25-30 minute programs are designed to delight children of all ages. Filled with diverse stories and activities that promotes and develops language skills and imagination. These programs encourage children to develop a lifelong love of reading and learning, and introduce them to the culture of reading.",,Yes,89
PRESCHOOL STORYTIME,05/31/2017,May,FY 17,Long Branch,Storytime,ACE - All Children Excel,Science & Math (STEM),Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at storytime! These programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child's language skills. Children are encouraged to engage with the stories and activities and their grownups to participate in the program along with the children. 0-5 years are welcome.",,Yes,28
Family Storytime,05/31/2017,May,FY 17,Kensington Park,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"These 25-30 minute programs are designed to delight children of all ages. Filled with diverse stories and activities that promotes and develops language skills and imagination. These programs encourage children to develop a lifelong love of reading and learning, and introduce them to the culture of reading.",,Yes,89
Baby Storytime (0-18 months),05/31/2017,May,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,43
Tutoring and Homework Help,05/31/2017,May,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,23
Toddler & Preschool Storytime,06/01/2017,Jun,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,53
Toddler & Preschool Storytime,06/01/2017,Jun,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,68
Me and You-kulele Singalong,06/01/2017,Jun,FY 17,Wheaton,Special Event,Storytime,ACE - All Children Excel,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. Got a Uke? Bring it! We will play and sing some 2 and 3-chord songs!",,Yes,20
Tutoring and Homework Help,06/01/2017,Jun,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,20
MC Infants & Toddlers Bilingual Storytime,06/02/2017,Jun,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,30
Lego Construction Crew,06/02/2017,Jun,FY 17,Olney,Science & Math (STEM),ACE - All Children Excel,,Elementary School Age,,,"Drop in every Friday afternoon between 3:30 and 5 and create with Legos! Parent/caregiver must accompany child. For ages 5 and up. We'll supply the Legos, you supply the imagination!STEM program",,Yes,20
LEGO and DUPLO Playtime,06/02/2017,Jun,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home -- just bring your imagination and start building! Your creations must be left at the library but may be photographed before you leave. For children ages 3 to 12. Free. No registration. All children must be accompanied by an adult at all times. For more information call 240-777-0240.,,Yes,4
LEGO Crew,06/02/2017,Jun,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,22
Family Storytime,06/03/2017,Jun,FY 17,Germantown,ACE - All Children Excel,Storytime,,All Ages,,,"A storytime for all ages that includes stories, fingerplays, songs and other early literacy activities.",,Yes,82
Family Storytime,06/03/2017,Jun,FY 17,Bethesda,Storytime,ACE - All Children Excel,,All Ages,,,"Stories, songs, rhymes, and other early literacy activities for children of all ages. Free tickets will be handed out 30 minutes prior to the program. Space is limited. A summertime program for children and families.",,Yes,17
Tutoring and Homework Help,06/06/2017,Jun,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,23
FAMILY STORYTIME (WITH PLAYTIME),06/03/2017,Jun,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Stories, songs, and rhymes for the whole family, with playtime at the end. Free! No registration necessary. With the support of the Friends of the Library, Rockville Memorial Library Chapter. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. This is a summertime program for children of all ages and their families. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,70
